涉	しょう,わたる
嘉生	よしお,よしき
嘉斗	ひろと,よしと
嘉登	ひろと,よしと
嘉都	ひろと,よしと
嘉範	ひろのり,よしのり
嘉文	かもん,よしふみ
嘉也	ひろや,よしなり,よしや
嘉弥	ひろや,よしひさ
嘉悠	よしはる,よしひさ
嘉倫	ひろのり,よしみち
嘉郎	よしお,よしろう
嘉翔	ひろと,よしと
夏大	かんた,なつひろ
花樹	はるき,はるた
華季	はるき,よしき
峨	さとる,まさる
我玖	がく,わく
我空	がく,わく
画	さとる,まさる
賀一	かいち,ひろかず,よしかず
賀久	がく,よしき,よしひさ
賀大	ひろき,よしき,よしひろ
雅英	まさひで,よしひで
雅央	まさお,まさひろ
雅喜	まさき,まさよし
雅紀	まさき,まさのり
雅規	まさき,まさのり
雅貴	まさき,まさたか
雅輝	まさき,まさてる
雅宜	まさたか,まさよし
雅敬	まさたか,まさのり
雅玄	まさとら,まさはる
雅光	まさみち,まさみつ
雅功	がく,まさとし,まさのり,まさよし
雅幸	まさき,まさゆき
雅史	まさし,まさひと,まさふみ
雅嗣	まさし,まさつぐ
雅士	まさし,まさと
雅志	まさし,まさむね,まさゆき
雅勝	まさかつ,まさよし
雅昌	なりまさ,まさあき
雅章	まさあき,まさゆき,もとふみ
雅信	ただのぶ,まさのぶ
雅人	まさと,まさひと,よしと
雅生	がい,まさお,まさき
雅聡	まさあき,まさと
雅太	まさたか,まさひろ
雅大	ただひろ,まさはる,まさひろ
雅知	まさとも,まさはる
雅直	まさちか,まさなお
雅斗	がくと,まさと
雅之	まさし,まさゆき
雅彦	つねひこ,まさひこ,もとひこ
雅明	まさあき,まさはる
雅也	のりや,まさなり,まさや
雅雄	つねお,まさお
雅庸	まさのぶ,まさやす
雅陽	まさはる,まさや
雅理	まさみち,まさよし
雅翔	がくと,まさと
介治	かいじ,かいち
解	さとる,とき
快音	かいん,はやと
快希	かいき,よしき
快輝	かいき,よしき
快行	としゆき,よしゆき
快司	かいし,かいじ
快士	かいし,かいじ
快次	かいじ,よしつぐ
快治	かいじ,かいち
快樹	かいき,よしき
快真	かいしん,かいま
快人	はやと,よしひと
快仁	はやと,よしと,よしひと
快太	かいた,はやた
快男	やすお,よしお
快直	かいち,よしちか,よしなお
快彦	やすひこ,よしひこ
快優	かいゆう,よしひろ
快雄	かいゆう,よしお
